rgb_paths,class,fold
/home/data/imagenet/train/n02445715/n02445715_5440.JPEG,n02445715,0.0
/home/data/imagenet/train/n02445715/n02445715_16047.JPEG,n02445715,4.0
/home/data/imagenet/train/n02445715/n02445715_14184.JPEG,n02445715,3.0
/home/data/imagenet/train/n02445715/n02445715_6900.JPEG,n02445715,0.0
/home/data/imagenet/train/n02445715/n02445715_15181.JPEG,n02445715,4.0
/home/data/imagenet/train/n02445715/n02445715_13753.JPEG,n02445715,4.0
/home/data/imagenet/train/n02445715/n02445715_14478.JPEG,n02445715,3.0
/home/data/imagenet/train/n02445715/n02445715_2287.JPEG,n02445715,3.0
/home/data/imagenet/train/n02445715/n02445715_16697.JPEG,n02445715,0.0
/home/data/imagenet/train/n02445715/n02445715_10380.JPEG,n02445715,4.0
/home/data/imagenet/train/n02445715/n02445715_4335.JPEG,n02445715,1.0
/home/data/imagenet/train/n02445715/n02445715_9979.JPEG,n02445715,4.0
/home/data/imagenet/train/n02445715/n02445715_38876.JPEG,n02445715,1.0
/home/data/imagenet/train/n02445715/n02445715_7191.JPEG,n02445715,4.0
/home/data/imagenet/train/n02445715/n02445715_4461.JPEG,n02445715,0.0
/home/data/imagenet/train/n02445715/n02445715_3235.JPEG,n02445715,2.0
/home/data/imagenet/train/n02445715/n02445715_12294.JPEG,n02445715,4.0
/home/data/imagenet/train/n02445715/n02445715_1119.JPEG,n02445715,0.0
/home/data/imagenet/train/n02445715/n02445715_27823.JPEG,n02445715,3.0
/home/data/imagenet/train/n02445715/n02445715_8713.JPEG,n02445715,0.0
/home/data/imagenet/train/n02445715/n02445715_5449.JPEG,n02445715,1.0
/home/data/imagenet/train/n02445715/n02445715_5955.JPEG,n02445715,4.0
/home/data/imagenet/train/n02445715/n02445715_3307.JPEG,n02445715,3.0
/home/data/imagenet/train/n02445715/n02445715_6096.JPEG,n02445715,1.0
/home/data/imagenet/train/n02445715/n02445715_17641.JPEG,n02445715,3.0
/home/data/imagenet/train/n02445715/n02445715_11487.JPEG,n02445715,3.0
/home/data/imagenet/train/n02445715/n02445715_34787.JPEG,n02445715,2.0
/home/data/imagenet/train/n02445715/n02445715_4669.JPEG,n02445715,2.0
/home/data/imagenet/train/n02445715/n02445715_8317.JPEG,n02445715,2.0
/home/data/imagenet/train/n02445715/n02445715_4333.JPEG,n02445715,1.0
/home/data/imagenet/train/n02445715/n02445715_33450.JPEG,n02445715,1.0
/home/data/imagenet/train/n02445715/n02445715_11763.JPEG,n02445715,0.0
/home/data/imagenet/train/n02445715/n02445715_5392.JPEG,n02445715,1.0
/home/data/imagenet/train/n02445715/n02445715_29157.JPEG,n02445715,0.0
/home/data/imagenet/train/n02445715/n02445715_1619.JPEG,n02445715,2.0
/home/data/imagenet/train/n02445715/n02445715_12044.JPEG,n02445715,0.0
