rgb_paths,class,fold
/home/data/imagenet2/train/n01440764/n01440764_5628.JPEG,n01440764,2.0
/home/data/imagenet2/train/n01440764/n01440764_13257.JPEG,n01440764,3.0
/home/data/imagenet2/train/n01440764/n01440764_13797.JPEG,n01440764,3.0
/home/data/imagenet2/train/n01440764/n01440764_2675.JPEG,n01440764,1.0
/home/data/imagenet2/train/n01440764/n01440764_5345.JPEG,n01440764,2.0
/home/data/imagenet2/train/n01440764/n01440764_14559.JPEG,n01440764,2.0
/home/data/imagenet2/train/n01440764/n01440764_14274.JPEG,n01440764,0.0
/home/data/imagenet2/train/n01440764/n01440764_5879.JPEG,n01440764,0.0
/home/data/imagenet2/train/n01440764/n01440764_7428.JPEG,n01440764,2.0
/home/data/imagenet2/train/n01440764/n01440764_12279.JPEG,n01440764,4.0
/home/data/imagenet2/train/n01440764/n01440764_24047.JPEG,n01440764,3.0
/home/data/imagenet2/train/n01440764/n01440764_11736.JPEG,n01440764,4.0
/home/data/imagenet2/train/n01440764/n01440764_6642.JPEG,n01440764,3.0
/home/data/imagenet2/train/n01440764/n01440764_4965.JPEG,n01440764,4.0
/home/data/imagenet2/train/n01440764/n01440764_8112.JPEG,n01440764,2.0
/home/data/imagenet2/train/n01440764/n01440764_5861.JPEG,n01440764,2.0
/home/data/imagenet2/train/n01440764/n01440764_8688.JPEG,n01440764,4.0
/home/data/imagenet2/train/n01440764/n01440764_8783.JPEG,n01440764,0.0
/home/data/imagenet2/train/n01440764/n01440764_985.JPEG,n01440764,3.0
/home/data/imagenet2/train/n01440764/n01440764_10649.JPEG,n01440764,1.0
/home/data/imagenet2/train/n01440764/n01440764_12435.JPEG,n01440764,2.0
/home/data/imagenet2/train/n01440764/n01440764_8622.JPEG,n01440764,3.0
/home/data/imagenet2/train/n01440764/n01440764_11650.JPEG,n01440764,2.0
/home/data/imagenet2/train/n01440764/n01440764_9543.JPEG,n01440764,1.0
/home/data/imagenet2/train/n01440764/n01440764_2825.JPEG,n01440764,4.0
/home/data/imagenet2/train/n01440764/n01440764_6190.JPEG,n01440764,4.0
/home/data/imagenet2/train/n01440764/n01440764_13274.JPEG,n01440764,2.0
/home/data/imagenet2/train/n01440764/n01440764_11656.JPEG,n01440764,2.0
/home/data/imagenet2/train/n01440764/n01440764_2751.JPEG,n01440764,3.0
/home/data/imagenet2/train/n01440764/n01440764_6501.JPEG,n01440764,0.0
/home/data/imagenet2/train/n01443537/n01443537_24156.JPEG,n01443537,1.0
/home/data/imagenet2/train/n01443537/n01443537_3108.JPEG,n01443537,1.0
/home/data/imagenet2/train/n01443537/n01443537_23280.JPEG,n01443537,3.0
/home/data/imagenet2/train/n01443537/n01443537_1853.JPEG,n01443537,2.0
/home/data/imagenet2/train/n01443537/n01443537_4756.JPEG,n01443537,0.0
/home/data/imagenet2/train/n01443537/n01443537_20680.JPEG,n01443537,0.0
/home/data/imagenet2/train/n01443537/n01443537_18729.JPEG,n01443537,2.0
/home/data/imagenet2/train/n01443537/n01443537_23455.JPEG,n01443537,3.0
/home/data/imagenet2/train/n01443537/n01443537_23319.JPEG,n01443537,2.0
/home/data/imagenet2/train/n01443537/n01443537_13298.JPEG,n01443537,2.0
/home/data/imagenet2/train/n01443537/n01443537_9475.JPEG,n01443537,4.0
/home/data/imagenet2/train/n01443537/n01443537_10034.JPEG,n01443537,1.0
/home/data/imagenet2/train/n01443537/n01443537_338.JPEG,n01443537,1.0
/home/data/imagenet2/train/n01443537/n01443537_9106.JPEG,n01443537,0.0
/home/data/imagenet2/train/n01443537/n01443537_17070.JPEG,n01443537,1.0
/home/data/imagenet2/train/n01443537/n01443537_20705.JPEG,n01443537,3.0
/home/data/imagenet2/train/n01443537/n01443537_15607.JPEG,n01443537,0.0
/home/data/imagenet2/train/n01443537/n01443537_7095.JPEG,n01443537,1.0
/home/data/imagenet2/train/n01443537/n01443537_23987.JPEG,n01443537,3.0
/home/data/imagenet2/train/n01443537/n01443537_17085.JPEG,n01443537,1.0
/home/data/imagenet2/train/n01443537/n01443537_12138.JPEG,n01443537,1.0
/home/data/imagenet2/train/n01443537/n01443537_20228.JPEG,n01443537,2.0
/home/data/imagenet2/train/n01443537/n01443537_20078.JPEG,n01443537,0.0
/home/data/imagenet2/train/n01443537/n01443537_23656.JPEG,n01443537,4.0
/home/data/imagenet2/train/n01443537/n01443537_24417.JPEG,n01443537,1.0
/home/data/imagenet2/train/n01443537/n01443537_18310.JPEG,n01443537,4.0
/home/data/imagenet2/train/n01443537/n01443537_17309.JPEG,n01443537,2.0
/home/data/imagenet2/train/n01443537/n01443537_9930.JPEG,n01443537,1.0
/home/data/imagenet2/train/n01443537/n01443537_18549.JPEG,n01443537,3.0
/home/data/imagenet2/train/n01443537/n01443537_23046.JPEG,n01443537,1.0
/home/data/imagenet2/train/n01484850/n01484850_18007.JPEG,n01484850,4.0
/home/data/imagenet2/train/n01484850/n01484850_25975.JPEG,n01484850,2.0
/home/data/imagenet2/train/n01484850/n01484850_3273.JPEG,n01484850,2.0
/home/data/imagenet2/train/n01484850/n01484850_15209.JPEG,n01484850,1.0
/home/data/imagenet2/train/n01484850/n01484850_24667.JPEG,n01484850,2.0
/home/data/imagenet2/train/n01484850/n01484850_2352.JPEG,n01484850,3.0
/home/data/imagenet2/train/n01484850/n01484850_7376.JPEG,n01484850,3.0
/home/data/imagenet2/train/n01484850/n01484850_25485.JPEG,n01484850,4.0
/home/data/imagenet2/train/n01484850/n01484850_12836.JPEG,n01484850,1.0
/home/data/imagenet2/train/n01484850/n01484850_34520.JPEG,n01484850,1.0
/home/data/imagenet2/train/n01484850/n01484850_7853.JPEG,n01484850,1.0
/home/data/imagenet2/train/n01484850/n01484850_1070.JPEG,n01484850,3.0
/home/data/imagenet2/train/n01484850/n01484850_30088.JPEG,n01484850,1.0
/home/data/imagenet2/train/n01484850/n01484850_15647.JPEG,n01484850,3.0
/home/data/imagenet2/train/n01484850/n01484850_6303.JPEG,n01484850,3.0
/home/data/imagenet2/train/n01484850/n01484850_7965.JPEG,n01484850,0.0
/home/data/imagenet2/train/n01484850/n01484850_33542.JPEG,n01484850,2.0
/home/data/imagenet2/train/n01484850/n01484850_851.JPEG,n01484850,4.0
